Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.7,G:\WIT00021.TXT,40:02.1,0.188,-0.504,0.844
50:31.7,G:\WIT00021.TXT,40:02.2,0.072,-0.821,0.907
50:31.7,G:\WIT00021.TXT,40:02.3,0.356,-0.848,0.782
50:31.7,G:\WIT00021.TXT,40:02.3,0.239,-0.542,0.435
50:31.7,G:\WIT00021.TXT,40:02.4,0.417,-0.532,0.853
50:31.7,G:\WIT00021.TXT,40:02.5,0.289,-0.117,1.091
50:31.7,G:\WIT00021.TXT,40:02.5,0.261,0.223,0.278
50:31.7,G:\WIT00021.TXT,40:02.6,0.345,0.47,0.254
50:31.7,G:\WIT00021.TXT,40:02.7,-0.021,0.496,1.147
50:31.7,G:\WIT00021.TXT,40:02.7,0.298,0.675,1.012
50:31.7,G:\WIT00021.TXT,40:02.8,0.268,0.197,1.365
50:31.7,G:\WIT00021.TXT,40:02.9,0.132,-0.059,1.025
50:31.7,G:\WIT00021.TXT,40:02.9,0.313,-0.282,0.984
50:31.7,G:\WIT00021.TXT,40:03.0,0.24,-0.413,1.195
50:31.7,G:\WIT00021.TXT,40:03.0,0.216,-0.244,0.562
50:31.7,G:\WIT00021.TXT,40:03.1,0.347,0.274,1.013
50:31.7,G:\WIT00021.TXT,40:03.2,0.484,0.201,0.774
50:31.7,G:\WIT00021.TXT,40:03.2,0.464,-0.035,0.89
50:31.7,G:\WIT00021.TXT,40:03.3,0.379,-0.141,0.744
50:31.7,G:\WIT00021.TXT,40:03.4,0.465,-0.03,0.896
50:31.7,G:\WIT00021.TXT,40:03.4,0.459,-0.151,0.967
50:31.7,G:\WIT00021.TXT,40:03.5,0.441,-0.241,0.866
50:31.7,G:\WIT00021.TXT,40:03.6,0.45,-0.249,0.817
50:31.7,G:\WIT00021.TXT,40:03.6,0.453,-0.335,0.743
50:31.7,G:\WIT00021.TXT,40:03.7,0.411,-0.429,0.812
50:31.7,G:\WIT00021.TXT,40:03.8,0.542,-0.523,0.648
50:31.7,G:\WIT00021.TXT,40:03.8,0.407,-0.738,0.547
50:31.7,G:\WIT00021.TXT,40:03.9,0.255,-0.809,0.442
50:31.7,G:\WIT00021.TXT,40:04.0,0.43,-0.598,0.276
50:31.7,G:\WIT00021.TXT,40:04.0,0.301,-0.784,0.836
50:31.7,G:\WIT00021.TXT,40:04.1,0.189,-0.447,1.019
50:31.7,G:\WIT00021.TXT,40:04.2,0.176,-0.277,0.907
50:31.7,G:\WIT00021.TXT,40:04.2,0.178,-0.323,0.881
50:31.7,G:\WIT00021.TXT,40:04.3,0.006,-0.336,1.093
50:31.7,G:\WIT00021.TXT,40:04.3,0.191,-0.12,0.701
50:31.7,G:\WIT00021.TXT,40:04.4,0.252,0.004,0.772
50:31.7,G:\WIT00021.TXT,40:04.5,0.232,-0.176,0.868
50:31.7,G:\WIT00021.TXT,40:04.5,0.239,-0.165,0.869
50:31.7,G:\WIT00021.TXT,40:04.6,0.17,-0.239,0.844
50:31.7,G:\WIT00021.TXT,40:04.7,0.262,-0.353,0.719
50:31.7,G:\WIT00021.TXT,40:04.7,0.104,-0.268,1.15
50:31.7,G:\WIT00021.TXT,40:04.8,0.104,0.014,1.046
50:31.7,G:\WIT00021.TXT,40:04.9,0.106,-0.493,0.911
50:31.7,G:\WIT00021.TXT,40:04.9,0.092,-0.025,0.998
50:31.7,G:\WIT00021.TXT,40:05.0,0.01,-0.2,1.019
50:31.7,G:\WIT00021.TXT,40:05.1,0.079,-0.111,1.001
50:31.7,G:\WIT00021.TXT,40:05.1,0.027,-0.359,0.936
50:31.7,G:\WIT00021.TXT,40:05.2,0.037,-0.247,0.954
50:31.7,G:\WIT00021.TXT,40:05.3,0.03,-0.344,1.136
50:31.7,G:\WIT00021.TXT,40:05.3,0.1,-0.232,0.973
50:31.7,G:\WIT00021.TXT,40:05.4,0.048,-0.32,0.828
50:31.7,G:\WIT00021.TXT,40:05.5,0.118,-0.311,0.978
50:31.7,G:\WIT00021.TXT,40:05.5,0.016,-0.178,0.999
50:31.7,G:\WIT00021.TXT,40:05.6,-0.042,-0.195,0.958
50:31.7,G:\WIT00021.TXT,40:05.6,0.096,-0.05,0.934
50:31.7,G:\WIT00021.TXT,40:05.7,0.051,-0.067,1.091
50:31.7,G:\WIT00021.TXT,40:05.8,0.036,-0.106,1.081
50:31.7,G:\WIT00021.TXT,40:05.8,-0.096,-0.158,0.812
50:31.7,G:\WIT00021.TXT,40:05.9,0.097,-0.405,0.984
50:31.7,G:\WIT00021.TXT,40:06.0,-0.059,0.088,0.633
50:31.7,G:\WIT00021.TXT,40:06.0,0.047,0.154,0.529
50:31.7,G:\WIT00021.TXT,40:06.1,0.039,0.013,1.319
50:31.7,G:\WIT00021.TXT,40:06.2,0.089,-0.05,1.037
50:31.7,G:\WIT00021.TXT,40:06.2,0.046,-0.057,1.048
50:31.7,G:\WIT00021.TXT,40:06.3,0.288,-0.135,1.044
50:31.7,G:\WIT00021.TXT,40:06.4,0.37,-0.162,0.652
50:31.7,G:\WIT00021.TXT,40:06.4,0.26,-0.421,0.793
50:31.7,G:\WIT00021.TXT,40:06.5,0.162,-0.313,0.805
50:31.7,G:\WIT00021.TXT,40:06.6,0.277,-0.213,0.728
50:31.7,G:\WIT00021.TXT,40:06.6,0.324,-0.281,1.245
50:31.7,G:\WIT00021.TXT,40:06.7,0,-0.699,1.201
50:31.7,G:\WIT00021.TXT,40:06.8,0.385,0.121,0.772
50:31.7,G:\WIT00021.TXT,40:06.8,0.373,-0.089,0.879
50:31.7,G:\WIT00021.TXT,40:06.9,0.414,-0.285,0.977
50:31.7,G:\WIT00021.TXT,40:06.9,0.398,-0.485,0.882
50:31.7,G:\WIT00021.TXT,40:07.0,0.368,-0.374,0.684
50:31.7,G:\WIT00021.TXT,40:07.1,0.456,-0.429,0.618
50:31.7,G:\WIT00021.TXT,40:07.1,0.668,-0.471,0.577
50:31.7,G:\WIT00021.TXT,40:07.2,0.463,-0.647,0.863
50:31.7,G:\WIT00021.TXT,40:07.3,0.537,-0.452,0.646
