Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.9,G:\WIT00021.TXT,43:12.6,-0.104,0.663,-0.265
50:31.9,G:\WIT00021.TXT,43:12.7,0.074,1.073,-1.13
50:31.9,G:\WIT00021.TXT,43:12.7,-0.019,0.531,-0.998
50:31.9,G:\WIT00021.TXT,43:12.8,-0.063,0.353,-0.645
50:31.9,G:\WIT00021.TXT,43:12.8,-0.063,0.424,-0.803
50:31.9,G:\WIT00021.TXT,43:12.9,-0.002,0.448,-0.916
50:31.9,G:\WIT00021.TXT,43:13.0,0.043,0.508,-0.866
50:31.9,G:\WIT00021.TXT,43:13.0,0.042,0.54,-0.837
50:31.9,G:\WIT00021.TXT,43:13.1,-0.034,0.574,-0.851
50:31.9,G:\WIT00021.TXT,43:13.2,-0.055,0.525,-0.858
50:31.9,G:\WIT00021.TXT,43:13.2,-0.62,0.517,-0.806
50:31.9,G:\WIT00021.TXT,43:13.3,-1.208,0.266,-1.494
50:31.9,G:\WIT00021.TXT,43:13.4,0.115,-1.934,-0.418
50:31.9,G:\WIT00021.TXT,43:13.4,-0.031,-1.679,-0.792
50:31.9,G:\WIT00021.TXT,43:13.5,-0.092,-1.794,-0.681
50:31.9,G:\WIT00021.TXT,43:13.6,0.091,-0.457,-0.587
50:31.9,G:\WIT00021.TXT,43:13.6,0.054,0.766,-1.027
50:31.9,G:\WIT00021.TXT,43:13.7,0.03,1.151,-0.93
50:31.9,G:\WIT00021.TXT,43:13.8,-0.862,0.811,-0.292
50:31.9,G:\WIT00021.TXT,43:13.8,-0.138,2.375,1.066
50:31.9,G:\WIT00021.TXT,43:13.9,-0.239,-0.461,2.587
50:31.9,G:\WIT00021.TXT,43:14.0,-0.294,1.028,3.258
50:31.9,G:\WIT00021.TXT,43:14.0,0.397,0.708,-0.062
50:31.9,G:\WIT00021.TXT,43:14.1,-1.965,1.169,0.72
50:31.9,G:\WIT00021.TXT,43:14.1,-0.713,2.953,-1.752
50:31.9,G:\WIT00021.TXT,43:14.2,-0.054,2.546,-1.703
50:31.9,G:\WIT00021.TXT,43:14.3,0.74,1.509,-0.7
50:31.9,G:\WIT00021.TXT,43:14.3,0.225,1.275,0.054
50:31.9,G:\WIT00021.TXT,43:14.4,-0.063,0.53,-0.024
50:31.9,G:\WIT00021.TXT,43:14.5,0.33,1.04,-0.033
50:31.9,G:\WIT00021.TXT,43:14.5,0.103,1.394,1.534
50:31.9,G:\WIT00021.TXT,43:14.6,0.11,-0.132,1.025
50:31.9,G:\WIT00021.TXT,43:14.7,0.334,0.944,0.757
50:31.9,G:\WIT00021.TXT,43:14.7,0.161,0.68,0.365
50:31.9,G:\WIT00021.TXT,43:14.8,0.024,0.773,-0.124
50:31.9,G:\WIT00021.TXT,43:14.9,0.278,0.746,-0.843
50:31.9,G:\WIT00021.TXT,43:14.9,-0.018,1.512,-0.814
50:31.9,G:\WIT00021.TXT,43:15.0,0.007,0.764,-0.76
50:31.9,G:\WIT00021.TXT,43:15.1,0.016,0.799,-0.664
50:31.9,G:\WIT00021.TXT,43:15.1,-0.003,0.573,-0.765
50:31.9,G:\WIT00021.TXT,43:15.2,-0.047,0.54,-0.878
50:31.9,G:\WIT00021.TXT,43:15.3,-0.054,0.486,-0.879
50:31.9,G:\WIT00021.TXT,43:15.3,-0.086,0.418,-0.924
50:31.9,G:\WIT00021.TXT,43:15.4,-0.095,0.379,-0.925
50:31.9,G:\WIT00021.TXT,43:15.4,-0.354,0.368,-0.913
50:31.9,G:\WIT00021.TXT,43:15.5,0.314,0.333,0.226
50:31.9,G:\WIT00021.TXT,43:15.6,-0.63,-0.892,0.464
50:31.9,G:\WIT00021.TXT,43:15.6,0.03,1.248,-2.723
50:31.9,G:\WIT00021.TXT,43:15.7,-0.021,0.194,-1.938
50:31.9,G:\WIT00021.TXT,43:15.8,-0.009,0.709,-0.862
50:31.9,G:\WIT00021.TXT,43:15.8,0.049,0.588,-0.625
50:31.9,G:\WIT00021.TXT,43:15.9,-0.024,0.551,-0.95
50:31.9,G:\WIT00021.TXT,43:16.0,0,0.452,-0.891
50:31.9,G:\WIT00021.TXT,43:16.0,-0.018,0.439,-0.882
50:31.9,G:\WIT00021.TXT,43:16.1,-0.13,0.491,-0.873
50:31.9,G:\WIT00021.TXT,43:16.2,-0.244,0.401,-1.177
50:31.9,G:\WIT00021.TXT,43:16.2,-0.059,0.46,-1.111
50:31.9,G:\WIT00021.TXT,43:16.3,-0.019,0.287,-0.696
50:31.9,G:\WIT00021.TXT,43:16.4,0.011,0.705,-1.213
50:31.9,G:\WIT00021.TXT,43:16.4,-0.034,0.376,-0.85
50:31.9,G:\WIT00021.TXT,43:16.5,-0.041,0.363,-0.978
50:31.9,G:\WIT00021.TXT,43:16.6,-0.081,0.366,-0.984
50:31.9,G:\WIT00021.TXT,43:16.6,-0.03,0.443,-0.916
50:31.9,G:\WIT00021.TXT,43:16.7,-0.06,0.474,-0.921
50:31.9,G:\WIT00021.TXT,43:16.7,-0.051,0.472,-0.832
50:31.9,G:\WIT00021.TXT,43:16.8,-0.02,0.501,-0.89
50:31.9,G:\WIT00021.TXT,43:16.9,0.067,0.389,-1.034
50:31.9,G:\WIT00021.TXT,43:16.9,-0.018,0.37,-0.897
50:31.9,G:\WIT00021.TXT,43:17.0,-0.067,0.302,-0.864
50:31.9,G:\WIT00021.TXT,43:17.1,-0.068,0.387,-0.914
50:31.9,G:\WIT00021.TXT,43:17.1,-0.058,0.408,-0.901
50:31.9,G:\WIT00021.TXT,43:17.2,-0.063,0.401,-0.913
50:31.9,G:\WIT00021.TXT,43:17.3,-0.065,0.407,-0.938
50:31.9,G:\WIT00021.TXT,43:17.3,-0.072,0.428,-0.904
50:31.9,G:\WIT00021.TXT,43:17.4,-0.054,0.482,-0.879
50:31.9,G:\WIT00021.TXT,43:17.5,-0.083,0.409,-0.883
50:31.9,G:\WIT00021.TXT,43:17.5,-0.066,0.168,-0.723
50:31.9,G:\WIT00021.TXT,43:17.6,-0.31,-1.192,-1.257
50:31.9,G:\WIT00021.TXT,43:17.7,0.01,-0.314,-0.683
50:31.9,G:\WIT00021.TXT,43:17.7,0.091,-1.029,-2.012
50:31.9,G:\WIT00021.TXT,43:17.8,0.103,-1.052,-2.16
50:31.9,G:\WIT00021.TXT,43:17.9,-0.269,-1.154,-0.989
50:31.9,G:\WIT00021.TXT,43:17.9,0.027,-0.431,-1.618
50:31.9,G:\WIT00021.TXT,43:18.0,0.171,-0.161,-1.539
50:31.9,G:\WIT00021.TXT,43:18.0,0.378,0.678,-1.016
50:31.9,G:\WIT00021.TXT,43:18.1,0.258,0.968,-1.202
50:31.9,G:\WIT00021.TXT,43:18.2,0.189,1.606,-0.243
50:31.9,G:\WIT00021.TXT,43:18.2,0.201,0.888,-0.671
50:31.9,G:\WIT00021.TXT,43:18.3,0.168,0.646,-0.638
50:31.9,G:\WIT00021.TXT,43:18.4,0.096,0.625,-0.857
50:31.9,G:\WIT00021.TXT,43:18.4,0.072,0.508,-0.885
50:31.9,G:\WIT00021.TXT,43:18.5,-0.386,0.304,-0.438
50:31.9,G:\WIT00021.TXT,43:18.6,-0.492,-1.282,-1.542
50:31.9,G:\WIT00021.TXT,43:18.6,-0.017,0.864,-0.9
50:31.9,G:\WIT00021.TXT,43:18.7,-0.528,1.116,0.031
50:31.9,G:\WIT00021.TXT,43:18.8,-0.387,1.257,-3.663
50:31.9,G:\WIT00021.TXT,43:18.8,-0.184,1.276,-2.4
50:31.9,G:\WIT00021.TXT,43:18.9,0.354,1.153,-1.849
50:31.9,G:\WIT00021.TXT,43:19.0,0.252,0.909,-1.836
50:31.9,G:\WIT00021.TXT,43:19.0,0.39,0.638,-1.864
50:31.9,G:\WIT00021.TXT,43:19.1,0.161,0.648,-1.268
50:31.9,G:\WIT00021.TXT,43:19.2,0.377,0.122,-0.509
50:31.9,G:\WIT00021.TXT,43:19.2,0.971,0.138,-0.011
50:31.9,G:\WIT00021.TXT,43:19.3,1.166,0.016,-0.169
50:31.9,G:\WIT00021.TXT,43:19.3,1.065,-0.094,-0.028
50:31.9,G:\WIT00021.TXT,43:19.4,1.162,-0.063,-0.125
50:31.9,G:\WIT00021.TXT,43:19.5,1.062,-0.027,0.116
50:31.9,G:\WIT00021.TXT,43:19.5,1.201,0.155,-0.014
50:31.9,G:\WIT00021.TXT,43:19.6,1.043,-0.133,-0.149
50:31.9,G:\WIT00021.TXT,43:19.7,0.997,0.257,-0.153
50:31.9,G:\WIT00021.TXT,43:19.7,0.941,-0.128,-0.01
50:31.9,G:\WIT00021.TXT,43:19.8,0.578,0.092,0.102
50:31.9,G:\WIT00021.TXT,43:19.9,-0.271,-0.24,0.125
50:31.9,G:\WIT00021.TXT,43:19.9,1.052,2.69,-0.869
50:31.9,G:\WIT00021.TXT,43:20.0,1.081,0.455,-0.187
50:31.9,G:\WIT00021.TXT,43:20.1,0.86,0.854,-0.257
50:31.9,G:\WIT00021.TXT,43:20.1,0.623,0.693,-0.479
50:31.9,G:\WIT00021.TXT,43:20.2,0.53,0.439,-0.34
50:31.9,G:\WIT00021.TXT,43:20.3,0.28,0.71,-0.685
50:31.9,G:\WIT00021.TXT,43:20.3,0.204,0.332,-0.498
50:31.9,G:\WIT00021.TXT,43:20.4,0.299,-0.088,0.515
50:31.9,G:\WIT00021.TXT,43:20.5,0.14,-0.894,0.631
50:31.9,G:\WIT00021.TXT,43:20.5,0.255,-0.227,0.577
50:31.9,G:\WIT00021.TXT,43:20.6,0.245,-0.768,0.771
50:31.9,G:\WIT00021.TXT,43:20.6,0.135,-0.615,0.794
50:31.9,G:\WIT00021.TXT,43:20.7,0.102,-0.646,0.744
50:31.9,G:\WIT00021.TXT,43:20.8,0.041,-0.758,0.704
50:31.9,G:\WIT00021.TXT,43:20.8,0.035,-0.782,0.674
50:31.9,G:\WIT00021.TXT,43:20.9,0,-0.792,0.543
50:31.9,G:\WIT00021.TXT,43:21.0,-0.091,-0.891,0.384
50:31.9,G:\WIT00021.TXT,43:21.0,-0.025,-0.723,0.372
50:31.9,G:\WIT00021.TXT,43:21.1,-1.24,-0.89,-0.015
50:31.9,G:\WIT00021.TXT,43:21.2,-0.41,-2.462,-3.436
50:31.9,G:\WIT00021.TXT,43:21.2,-0.538,-2.081,-1.831
50:31.9,G:\WIT00021.TXT,43:21.3,0.22,-1.268,-2.496
50:31.9,G:\WIT00021.TXT,43:21.4,-0.308,-0.782,-1.079
50:31.9,G:\WIT00021.TXT,43:21.4,0.181,0.686,0.059
50:31.9,G:\WIT00021.TXT,43:21.5,-0.012,0.274,-0.006
50:31.9,G:\WIT00021.TXT,43:21.6,-0.048,-1.435,-2.857
50:31.9,G:\WIT00021.TXT,43:21.6,0.022,-0.333,-0.552
50:31.9,G:\WIT00021.TXT,43:21.7,-0.037,-0.188,-1.304
50:31.9,G:\WIT00021.TXT,43:21.8,0.001,0.251,-1.003
50:31.9,G:\WIT00021.TXT,43:21.8,0.025,0.003,-1.092
50:31.9,G:\WIT00021.TXT,43:21.9,0.012,0.381,-0.95
50:31.9,G:\WIT00021.TXT,43:21.9,0.001,0.589,-0.858
50:31.9,G:\WIT00021.TXT,43:22.0,-0.013,0.69,-0.752
50:31.9,G:\WIT00021.TXT,43:22.1,-0.023,0.733,-0.656
50:31.9,G:\WIT00021.TXT,43:22.1,0.108,-0.319,-0.103
50:31.9,G:\WIT00021.TXT,43:22.2,-1.87,-0.171,0.694
50:31.9,G:\WIT00021.TXT,43:22.3,-1.031,2.393,-3.134
50:31.9,G:\WIT00021.TXT,43:22.3,0.016,0.427,-3.128
50:31.9,G:\WIT00021.TXT,43:22.4,0.151,0.088,-0.13
50:31.9,G:\WIT00021.TXT,43:22.5,0.164,1.038,-0.813
50:31.9,G:\WIT00021.TXT,43:22.5,0.173,1.124,-1.396
50:31.9,G:\WIT00021.TXT,43:22.6,-0.046,0.687,-1.236
50:31.9,G:\WIT00021.TXT,43:22.7,-0.009,0.461,-0.744
50:31.9,G:\WIT00021.TXT,43:22.7,-0.045,0.578,-0.827
50:31.9,G:\WIT00021.TXT,43:22.8,-0.044,0.606,-0.962
50:31.9,G:\WIT00021.TXT,43:22.9,0.023,0.554,-0.872
50:31.9,G:\WIT00021.TXT,43:22.9,0.052,0.562,-0.868
50:31.9,G:\WIT00021.TXT,43:23.0,0.016,0.463,-0.918
50:31.9,G:\WIT00021.TXT,43:23.1,-0.013,0.518,-0.911
50:31.9,G:\WIT00021.TXT,43:23.1,-0.087,0.586,-0.95
50:31.9,G:\WIT00021.TXT,43:23.2,-0.084,0.539,-0.759
50:31.9,G:\WIT00021.TXT,43:23.2,-0.062,0.567,-0.864
50:31.9,G:\WIT00021.TXT,43:23.3,-0.067,0.526,-0.834
50:31.9,G:\WIT00021.TXT,43:23.4,-0.052,0.501,-0.834
50:31.9,G:\WIT00021.TXT,43:23.4,-0.044,0.536,-0.876
50:31.9,G:\WIT00021.TXT,43:23.5,-0.057,0.495,-0.825
50:31.9,G:\WIT00021.TXT,43:23.6,-0.066,0.584,-0.846
50:31.9,G:\WIT00021.TXT,43:23.6,-0.098,0.516,-0.835
50:31.9,G:\WIT00021.TXT,43:23.7,-0.591,0.532,-0.84
50:31.9,G:\WIT00021.TXT,43:23.8,-0.409,1.588,-2.298
50:31.9,G:\WIT00021.TXT,43:23.8,-0.748,1.254,-2.158
50:31.9,G:\WIT00021.TXT,43:23.9,0.156,-0.585,0.894
50:31.9,G:\WIT00021.TXT,43:24.0,0.438,1.202,-0.585
50:31.9,G:\WIT00021.TXT,43:24.0,-0.097,0.207,-0.4
50:31.9,G:\WIT00021.TXT,43:24.1,0.404,0.9,-1.54
50:31.9,G:\WIT00021.TXT,43:24.2,0.055,0.732,-1.673
50:31.9,G:\WIT00021.TXT,43:24.2,-0.016,0.386,-1.011
50:31.9,G:\WIT00021.TXT,43:24.3,-0.099,0.376,-0.953
50:31.9,G:\WIT00021.TXT,43:24.4,-0.073,0.402,-0.949
50:31.9,G:\WIT00021.TXT,43:24.4,-0.02,0.416,-0.934
50:31.9,G:\WIT00021.TXT,43:24.5,0.039,0.329,-0.903
50:31.9,G:\WIT00021.TXT,43:24.5,0.049,0.391,-0.884
50:31.9,G:\WIT00021.TXT,43:24.6,0.06,0.278,-0.879
50:31.9,G:\WIT00021.TXT,43:24.7,-0.07,0.421,-0.912
50:31.9,G:\WIT00021.TXT,43:24.7,-0.046,0.475,-0.938
50:31.9,G:\WIT00021.TXT,43:24.8,-0.071,0.452,-0.747
50:31.9,G:\WIT00021.TXT,43:24.9,-0.097,0.502,-0.84
50:31.9,G:\WIT00021.TXT,43:24.9,-0.108,0.485,-0.82
50:31.9,G:\WIT00021.TXT,43:25.0,-0.082,0.567,-0.851
50:31.9,G:\WIT00021.TXT,43:25.1,-0.08,0.55,-0.842
50:31.9,G:\WIT00021.TXT,43:25.1,-0.073,0.487,-0.856
50:31.9,G:\WIT00021.TXT,43:25.2,-0.108,0.472,-0.862
50:31.9,G:\WIT00021.TXT,43:25.3,-0.167,0.445,-0.873
50:31.9,G:\WIT00021.TXT,43:25.3,-0.169,0.501,-0.936
50:31.9,G:\WIT00021.TXT,43:25.4,-0.108,0.507,-1.176
50:31.9,G:\WIT00021.TXT,43:25.5,-0.094,0.41,-0.857
50:31.9,G:\WIT00021.TXT,43:25.5,-0.096,0.396,-0.914
50:31.9,G:\WIT00021.TXT,43:25.6,-0.1,0.41,-0.92
50:31.9,G:\WIT00021.TXT,43:25.7,-0.077,0.455,-0.9
50:31.9,G:\WIT00021.TXT,43:25.7,-0.125,0.397,-0.872
50:31.9,G:\WIT00021.TXT,43:25.8,-0.123,0.375,-0.836
50:31.9,G:\WIT00021.TXT,43:25.8,-0.115,0.419,-0.924
50:31.9,G:\WIT00021.TXT,43:25.9,-0.164,0.486,-0.863
50:31.9,G:\WIT00021.TXT,43:26.0,-0.083,0.425,-1.109
50:31.9,G:\WIT00021.TXT,43:26.0,-0.055,0.518,-0.977
50:31.9,G:\WIT00021.TXT,43:26.1,-0.111,1.044,-1.205
50:31.9,G:\WIT00021.TXT,43:26.2,-0.11,0.632,-1.077
50:31.9,G:\WIT00021.TXT,43:26.2,-0.1,0.677,-0.912
50:31.9,G:\WIT00021.TXT,43:26.3,-0.105,0.613,-0.821
50:31.9,G:\WIT00021.TXT,43:26.4,-0.123,0.637,-0.844
50:31.9,G:\WIT00021.TXT,43:26.4,-0.117,0.614,-0.83
50:31.9,G:\WIT00021.TXT,43:26.5,-0.13,0.502,-0.828
50:31.9,G:\WIT00021.TXT,43:26.6,-0.13,0.51,-0.817
50:31.9,G:\WIT00021.TXT,43:26.6,-0.162,0.598,-0.795
50:31.9,G:\WIT00021.TXT,43:26.7,-0.02,0.584,-0.854
50:31.9,G:\WIT00021.TXT,43:26.8,-0.038,0.576,-0.728
50:31.9,G:\WIT00021.TXT,43:26.8,-0.068,0.497,-0.971
50:31.9,G:\WIT00021.TXT,43:26.9,-0.204,0.478,-0.88
50:31.9,G:\WIT00021.TXT,43:27.0,-0.656,0.645,-0.852
50:31.9,G:\WIT00021.TXT,43:27.0,-0.551,-1.14,-1.934
50:31.9,G:\WIT00021.TXT,43:27.1,-0.07,-0.776,-1.097
50:31.9,G:\WIT00021.TXT,43:27.1,0.3,-0.672,-1.305
50:31.9,G:\WIT00021.TXT,43:27.2,0.206,-0.896,-2.133
50:31.9,G:\WIT00021.TXT,43:27.3,0.236,-0.919,-1.826
50:31.9,G:\WIT00021.TXT,43:27.3,-0.019,-0.889,-2.296
50:31.9,G:\WIT00021.TXT,43:27.4,0.046,0.009,-1.157
50:31.9,G:\WIT00021.TXT,43:27.5,0.327,0.932,-0.964
50:31.9,G:\WIT00021.TXT,43:27.5,-0.131,1.649,-0.456
50:31.9,G:\WIT00021.TXT,43:27.6,-0.02,0.751,-0.876
50:31.9,G:\WIT00021.TXT,43:27.7,-0.032,0.784,-0.545
50:31.9,G:\WIT00021.TXT,43:27.7,-0.001,0.724,-0.729
50:31.9,G:\WIT00021.TXT,43:27.8,-0.023,0.611,-0.816
50:31.9,G:\WIT00021.TXT,43:27.9,-0.206,0.527,-0.881
50:31.9,G:\WIT00021.TXT,43:27.9,0.551,1.03,-0.853
50:31.9,G:\WIT00021.TXT,43:28.0,-0.685,0.41,0.423
50:31.9,G:\WIT00021.TXT,43:28.1,0.596,3.82,-1.926
50:31.9,G:\WIT00021.TXT,43:28.1,1.141,0.897,-2.313
50:31.9,G:\WIT00021.TXT,43:28.2,-0.952,0.721,-0.638
50:31.9,G:\WIT00021.TXT,43:28.3,0.402,3.25,-1.581
50:31.9,G:\WIT00021.TXT,43:28.3,0.129,-0.247,0.398
50:31.9,G:\WIT00021.TXT,43:28.4,0.036,-0.247,-0.256
50:31.9,G:\WIT00021.TXT,43:28.4,0.375,3.597,-3.687
50:31.9,G:\WIT00021.TXT,43:28.5,0.019,0.567,-0.283
50:31.9,G:\WIT00021.TXT,43:28.6,-0.083,1.011,-0.69
50:31.9,G:\WIT00021.TXT,43:28.6,-0.176,0.535,-0.904
50:31.9,G:\WIT00021.TXT,43:28.7,-0.775,0.581,-0.868
50:31.9,G:\WIT00021.TXT,43:28.8,-0.965,-0.4,-1.764
50:31.9,G:\WIT00021.TXT,43:28.8,-1.148,-1.688,-1.052
50:31.9,G:\WIT00021.TXT,43:28.9,-1.099,-0.64,-1.71
50:31.9,G:\WIT00021.TXT,43:29.0,-0.981,-0.102,-2.005
50:31.9,G:\WIT00021.TXT,43:29.0,-0.979,0.25,-1.279
50:31.9,G:\WIT00021.TXT,43:29.1,-0.695,0.312,-1.267
50:31.9,G:\WIT00021.TXT,43:29.2,-0.7,0.554,-0.923
50:31.9,G:\WIT00021.TXT,43:29.2,-0.427,0.757,-0.745
50:31.9,G:\WIT00021.TXT,43:29.3,-0.475,0.808,-0.212
50:31.9,G:\WIT00021.TXT,43:29.4,-0.502,0.758,-0.731
50:31.9,G:\WIT00021.TXT,43:29.4,-0.45,0.735,-0.579
50:31.9,G:\WIT00021.TXT,43:29.5,-0.4,0.637,-0.771
50:31.9,G:\WIT00021.TXT,43:29.6,-0.416,0.643,-0.704
50:31.9,G:\WIT00021.TXT,43:29.6,-0.397,0.603,-0.779
50:31.9,G:\WIT00021.TXT,43:29.7,-0.372,0.592,-0.792
50:31.9,G:\WIT00021.TXT,43:29.7,-0.341,0.572,-0.804
50:31.9,G:\WIT00021.TXT,43:29.8,-0.328,0.554,-0.822
50:31.9,G:\WIT00021.TXT,43:29.9,-0.302,0.542,-0.825
50:31.9,G:\WIT00021.TXT,43:29.9,-0.277,0.538,-0.828
50:31.9,G:\WIT00021.TXT,43:30.0,-0.201,0.535,-0.831
50:31.9,G:\WIT00021.TXT,43:30.1,-0.098,0.538,-0.838
50:31.9,G:\WIT00021.TXT,43:30.1,-0.069,0.536,-0.854
50:31.9,G:\WIT00021.TXT,43:30.2,-0.087,0.544,-0.843
50:31.9,G:\WIT00021.TXT,43:30.3,-0.083,0.538,-0.847
50:31.9,G:\WIT00021.TXT,43:30.3,-0.101,0.538,-0.845
50:31.9,G:\WIT00021.TXT,43:30.4,-0.083,0.538,-0.849
50:31.9,G:\WIT00021.TXT,43:30.5,-0.093,0.535,-0.848
50:31.9,G:\WIT00021.TXT,43:30.5,-0.085,0.537,-0.849
50:31.9,G:\WIT00021.TXT,43:30.6,-0.078,0.536,-0.848
50:31.9,G:\WIT00021.TXT,43:30.7,-0.103,0.534,-0.847
50:31.9,G:\WIT00021.TXT,43:30.7,-0.111,0.536,-0.854
50:31.9,G:\WIT00021.TXT,43:30.8,-0.061,0.534,-0.846
50:31.9,G:\WIT00021.TXT,43:30.9,-0.094,0.541,-0.853
50:31.9,G:\WIT00021.TXT,43:30.9,-0.096,0.532,-0.854
50:31.9,G:\WIT00021.TXT,43:31.0,-0.085,0.532,-0.849
50:31.9,G:\WIT00021.TXT,43:31.0,-0.068,0.531,-0.852
50:31.9,G:\WIT00021.TXT,43:31.1,-0.065,0.536,-0.854
50:31.9,G:\WIT00021.TXT,43:31.2,-0.104,0.532,-0.849
50:31.9,G:\WIT00021.TXT,43:31.2,-0.084,0.532,-0.854
50:31.9,G:\WIT00021.TXT,43:31.3,-0.066,0.533,-0.854
50:31.9,G:\WIT00021.TXT,43:31.4,-0.076,0.532,-0.851
50:31.9,G:\WIT00021.TXT,43:31.4,-0.089,0.536,-0.852
50:31.9,G:\WIT00021.TXT,43:31.5,-0.087,0.535,-0.853
50:31.9,G:\WIT00021.TXT,43:31.6,-0.085,0.531,-0.851
50:31.9,G:\WIT00021.TXT,43:31.6,-0.063,0.534,-0.85
50:31.9,G:\WIT00021.TXT,43:31.7,-0.11,0.533,-0.856
50:31.9,G:\WIT00021.TXT,43:31.8,-0.096,0.533,-0.854
50:31.9,G:\WIT00021.TXT,43:31.8,-0.091,0.531,-0.854
50:31.9,G:\WIT00021.TXT,43:31.9,-0.065,0.533,-0.851
50:31.9,G:\WIT00021.TXT,43:32.0,-0.074,0.532,-0.854
50:31.9,G:\WIT00021.TXT,43:32.0,-0.08,0.53,-0.854
50:31.9,G:\WIT00021.TXT,43:32.1,-0.097,0.529,-0.855
50:31.9,G:\WIT00021.TXT,43:32.2,-0.098,0.531,-0.854
50:31.9,G:\WIT00021.TXT,43:32.2,-0.083,0.526,-0.851
50:31.9,G:\WIT00021.TXT,43:32.3,-0.082,0.533,-0.853
50:31.9,G:\WIT00021.TXT,43:32.3,-0.089,0.528,-0.852
50:31.9,G:\WIT00021.TXT,43:32.4,-0.092,0.529,-0.854
50:31.9,G:\WIT00021.TXT,43:32.5,-0.087,0.529,-0.85
50:31.9,G:\WIT00021.TXT,43:32.5,-0.071,0.533,-0.857
50:31.9,G:\WIT00021.TXT,43:32.6,-0.075,0.535,-0.857
50:31.9,G:\WIT00021.TXT,43:32.7,-0.084,0.529,-0.851
50:31.9,G:\WIT00021.TXT,43:32.7,-0.096,0.535,-0.856
50:31.9,G:\WIT00021.TXT,43:32.8,-0.099,0.525,-0.852
50:31.9,G:\WIT00021.TXT,43:32.9,-0.063,0.529,-0.858
50:31.9,G:\WIT00021.TXT,43:32.9,-0.078,0.527,-0.85
50:31.9,G:\WIT00021.TXT,43:33.0,-0.102,0.53,-0.855
50:31.9,G:\WIT00021.TXT,43:33.1,-0.071,0.528,-0.857
50:31.9,G:\WIT00021.TXT,43:33.1,-0.068,0.523,-0.848
50:31.9,G:\WIT00021.TXT,43:33.2,-0.096,0.529,-0.861
50:31.9,G:\WIT00021.TXT,43:33.3,-0.068,0.529,-0.855
50:31.9,G:\WIT00021.TXT,43:33.3,-0.089,0.534,-0.858
50:31.9,G:\WIT00021.TXT,43:33.4,-0.105,0.524,-0.852
50:31.9,G:\WIT00021.TXT,43:33.5,-0.189,0.527,-0.857
50:31.9,G:\WIT00021.TXT,43:33.5,-0.542,0.521,-0.851
50:31.9,G:\WIT00021.TXT,43:33.6,-1.638,0.507,-0.819
50:31.9,G:\WIT00021.TXT,43:33.6,-3.036,0.077,-0.808
50:31.9,G:\WIT00021.TXT,43:33.7,-2.124,0.511,-0.64
50:31.9,G:\WIT00021.TXT,43:33.8,-1.648,0.341,-0.82
50:31.9,G:\WIT00021.TXT,43:33.8,-0.981,0.291,-0.445
50:31.9,G:\WIT00021.TXT,43:33.9,0.271,0.301,-1.115
50:31.9,G:\WIT00021.TXT,43:34.0,-0.008,-4.312,-3.26
50:31.9,G:\WIT00021.TXT,43:34.0,0.552,-2.272,-2.854
50:31.9,G:\WIT00021.TXT,43:34.1,0.428,-1.354,-3.167
50:31.9,G:\WIT00021.TXT,43:34.2,-0.071,-0.547,-2.517
50:31.9,G:\WIT00021.TXT,43:34.2,-1.097,0.124,-2.349
50:31.9,G:\WIT00021.TXT,43:34.3,-0.553,0.244,0.158
50:31.9,G:\WIT00021.TXT,43:34.4,-0.414,0.105,0.018
50:31.9,G:\WIT00021.TXT,43:34.4,-0.262,0.685,-0.033
50:31.9,G:\WIT00021.TXT,43:34.5,-0.328,0.784,0.423
50:31.9,G:\WIT00021.TXT,43:34.6,-0.193,0.467,-0.41
50:31.9,G:\WIT00021.TXT,43:34.6,0.229,1.125,-0.238
50:31.9,G:\WIT00021.TXT,43:34.7,0.156,-0.154,-0.509
50:31.9,G:\WIT00021.TXT,43:34.8,0.19,-0.922,-0.131
50:31.9,G:\WIT00021.TXT,43:34.8,-0.304,2.337,-0.751
50:31.9,G:\WIT00021.TXT,43:34.9,-0.758,0.272,-0.573
50:31.9,G:\WIT00021.TXT,43:34.9,-0.529,1.48,1.944
50:31.9,G:\WIT00021.TXT,43:35.0,-0.166,2.895,-2.98
50:31.9,G:\WIT00021.TXT,43:35.1,-0.066,0.131,-1.104
50:31.9,G:\WIT00021.TXT,43:35.1,-0.184,0.741,0.759
50:31.9,G:\WIT00021.TXT,43:35.2,-0.167,1.167,0.162
50:31.9,G:\WIT00021.TXT,43:35.3,-0.064,0.918,-0.718
50:31.9,G:\WIT00021.TXT,43:35.3,-0.081,0.976,-0.223
50:31.9,G:\WIT00021.TXT,43:35.4,-0.048,0.979,-0.248
50:31.9,G:\WIT00021.TXT,43:35.5,-0.039,0.904,-0.427
50:31.9,G:\WIT00021.TXT,43:35.5,0.009,0.877,-0.452
50:31.9,G:\WIT00021.TXT,43:35.6,-0.146,0.933,-0.585
50:31.9,G:\WIT00021.TXT,43:35.7,0.358,1.152,0.402
50:31.9,G:\WIT00021.TXT,43:35.7,0.053,0.257,5.295
50:31.9,G:\WIT00021.TXT,43:35.8,0.277,0.098,-0.204
50:31.9,G:\WIT00021.TXT,43:35.9,-0.14,0.739,-1.194
50:31.9,G:\WIT00021.TXT,43:35.9,-0.799,1.031,-0.921
